accn,name,cq_g12,cq_eluate,hq_g12,hq_eluate,xq_g12,xq_eluate,pI_mean,mass_mean,net_charge_mean,net_charge_neg_mean,net_charge_pos_mean,charge_dens_C_m2_mean,charge_dens_neg_C_m2_mean,charge_dens_pos_C_m2_mean,cysteine_cont_percent_mean,cysteine_num_mean,desc_lower,perfect_match,contains_actin,contains_ubiquitin,desc_lower_2,Biophorum DTR,Biophorum high-risk,Levy 2014 - Association,Zhang 2016 - Pro A,Levy 2016 - Coelution,Molden 2021 - 29 DS,Falkenberg 2019 - 6 DS,Kreimer 2017 - 1 DS,Aboulaich 2014 - Association
XP_027245386.1,transketolase [Cricetulus griseus],True,True,False,True,True,True,8.268214782845508,67715.8548000003,5.02142366492731,-70.97775018927234,75.99917385419965,0.0088080575011915,-0.1245017641787395,0.1333098216799311,2.086677367576244,13.0,transketolase,True,,,transketolase,transketolase,,,,,,,,
XP_027248157.1,T-complex protein 1 subunit beta [Cricetulus griseus],True,True,False,True,True,True,6.450603828999277,57489.65380000011,-4.962324370048169,-73.96280309167737,69.00047872162921,-0.0097082035424651,-0.1446995184996961,0.1349913149572309,1.1214953271028036,6.0,t-complex protein 1 subunit beta,True,,,t complex protein 1 subunit beta,,,,,,,,,t complex protein 1 subunit beta
XP_027269616.1,T-complex protein 1 subunit zeta [Cricetulus griseus],True,True,False,True,True,True,6.949940807744519,57974.49610000006,-0.2753590493645982,-72.96485109244044,72.68949204307583,-0.0005356998829856,-0.1419501639131842,0.1414144640301985,1.5065913370998116,8.0,t-complex protein 1 subunit zeta,True,,,t complex protein 1 subunit zeta,,,,,,,,,t complex protein 1 subunit zeta
XP_027248343.1,endoplasmin [Cricetulus griseus],True,True,False,True,True,True,4.206890541875872,92492.67600000052,-53.49204688336743,-171.91153178118046,118.41948489781304,-0.0762192211093426,-0.2449516108561877,0.1687323897468451,0.6234413965087282,5.0,endoplasmin,True,,,endoplasmin,endoplasmin,,,,,,endoplasmin,,
XP_027269956.1,putative phospholipase B-like 2 [Cricetulus griseus],True,True,True,True,True,True,6.194392494636227,65540.10060000015,-3.3472050183194995,-53.99576450373068,50.64855948541117,-0.0060005505369917,-0.0967984667550518,0.09079791621806,1.1965811965811968,7.0,putative phospholipase b-like 2,True,,,putative phospholipase b like 2,phospholipase b like 2,phospholipase b like 2,,,,phospholipase b like,,putative phospholipase b like 2,putative phospholipase b like 2
XP_027243827.1,T-complex protein 1 subunit delta [Cricetulus griseus],True,True,False,True,True,True,9.153687202250472,58128.78600000004,4.411643022644235,-63.97039997184097,68.3820429944852,0.0085674789802652,-0.1242315061088993,0.1327989850891646,1.6697588126159555,9.0,t-complex protein 1 subunit delta,True,,,t complex protein 1 subunit delta,,,,,,,,,t complex protein 1 subunit delta
NP_001233654.1,phosphoglycerate kinase 1 [Cricetulus griseus],True,True,False,True,True,True,8.864993695030368,44562.02910000004,3.143021759505154,-50.97628237161685,54.119304131122,0.0072870363398263,-0.1181875438780628,0.1254745802178892,1.6786570743405276,7.0,phosphoglycerate kinase 1,True,,,phosphoglycerate kinase 1,phosphoglycerate kinase,,,phosphoglycerate kinase 1,,phosphoglycerate kinase 1,,,
XP_027249021.1,glucosylceramidase [Cricetulus griseus],True,True,False,True,True,True,8.950252151215853,57391.91830000012,5.698491419262121,-44.99714798863555,50.69563940789767,0.0111610809358193,-0.0881315375652933,0.0992926185011127,1.3592233009708738,7.0,glucosylceramidase,True,,,glucosylceramidase,,,,,,glucosylceramidase,,,
XP_027272044.1,procollagen C-endopeptidase enhancer 1 [Cricetulus griseus],True,True,True,True,True,True,9.051806194062667,50445.91030000001,3.610932056938596,-44.98859171677879,48.59952377371739,0.0077075353902109,-0.096028160415404,0.1037356958056149,2.564102564102564,12.0,procollagen c-endopeptidase enhancer 1,True,,,procollagen c endopeptidase enhancer 1,procollagen c endopeptidase enhancer,,,,procollagen c endopeptidase enhancer 1,procollagen c endopeptidase enhancer 1,,,
XP_027264402.1,cofilin-1 [Cricetulus griseus],True,True,True,True,True,True,8.963784571187354,18532.3089,2.0864070088909834,-27.989514828107264,30.075921836998248,0.0086821282909878,-0.1164722690752958,0.1251543973662836,2.409638554216868,4.0,cofilin-1,True,,,cofilin 1,cofilin 1,,,,,cofilin 1,,,cofilin 1
XP_027265955.1,40S ribosomal protein S15a [Cricetulus griseus],True,True,False,True,True,True,10.890425154432451,14839.34229999998,10.87092194885322,-12.994200420586504,23.865122369439725,0.052461027844019,-0.0627075710121406,0.1151685988561596,1.5384615384615383,2.0,40s ribosomal protein s15a,True,,,40s ribosomal protein s15a,,,,,,,,,40s ribosomal protein s15a
NP_001233680.1,aldose reductase-related protein 2 [Cricetulus griseus],True,True,False,True,True,True,6.715764391922964,36339.37980000005,-1.550660270024593,-43.98275989428134,42.432099624256736,-0.0041188739875727,-0.1168272955283359,0.1127084215407631,1.5822784810126582,5.0,aldose reductase-related protein 2,True,,,aldose reductase related protein 2,,,,aldose reductase related protein 2,,,,,
XP_027255228.1,tubulointerstitial nephritis antigen-like [Cricetulus griseus],True,True,True,True,True,True,7.257214381539067,52519.90600000006,1.500078578168183,-52.98441438954506,54.48449296771324,0.003117058133387,-0.1100978990163047,0.1132149571496917,5.161290322580645,24.0,tubulointerstitial nephritis antigen-like,True,,,tubulointerstitial nephritis antigen like,,,,,tubulointerstitial nephritis antigen like,,,,
NP_001233750.1,heat shock protein HSP 90-alpha [Cricetulus griseus],True,True,False,True,True,True,4.430257882596205,84847.95640000032,-37.71946750597406,-151.9239343847881,114.20446687881406,-0.0569269804337407,-0.2292866631473515,0.1723596827136108,0.9549795361527968,7.0,heat shock protein hsp 90-alpha,True,,,heat shock protein hsp 90 alpha,heat shock protein hsp 90 alpha,,heat shock protein,,,,,,
NP_001233673.1,glutathione S-transferase P 1 [Cricetulus griseus],True,True,False,True,True,True,8.285847727883972,23637.941000000003,1.866126944611452,-24.99822450425054,26.864351448862,0.0066025992812688,-0.0884469621004949,0.0950495613817638,1.9047619047619049,4.0,glutathione s-transferase p 1,True,,,glutathione s transferase p 1,glutathione s transferase p 1,glutathione s transferase,,glutathione s transferase p,,glutathione s transferase p,,,glutathione s transferase p 1
XP_027259772.1,galectin-1 [Cricetulus griseus],True,False,True,True,True,True,5.4611837658971885,14802.646199999986,-3.126091243072925,-17.991797558864477,14.865706315791552,-0.0151108512351406,-0.086968471239349,0.0718576200042083,4.444444444444445,6.0,galectin-1,True,,,galectin 1,galectin 1,,,,,galectin 1,,,
NP_001230962.1,40S ribosomal protein SA [Cricetulus griseus],True,True,False,True,True,True,4.325849782220339,32880.705800000054,-12.115071112492243,-40.98014348243196,28.86507236993972,-0.0343989669037859,-0.1163571048221926,0.0819581379184066,0.6779661016949152,2.0,40s ribosomal protein sa,True,,,40s ribosomal protein sa,40s ribosomal protein sa,,,,,,,,40s ribosomal protein sa
XP_027268506.1,follistatin-related protein 1 [Cricetulus griseus],True,True,False,True,True,True,5.30686470315532,34635.701300000044,-7.805500524875149,-48.97596615519822,41.17046563032307,-0.0214074507266183,-0.1343220180326237,0.1129145673060053,6.535947712418301,20.0,follistatin-related protein 1,True,,,follistatin related protein 1,follistatin related protein 1,,,,follistatin related protein 1,follistatin related protein 1,,,
XP_027255508.1,tissue alpha-L-fucosidase [Cricetulus griseus],True,True,False,True,True,True,6.485147522645714,53364.785300000025,-3.775959338797798,-48.99469976013691,45.21874042133911,-0.0077631441577506,-0.100730141157916,0.0929669970001654,0.8658008658008658,4.0,tissue alpha-l-fucosidase,True,,,tissue alpha l fucosidase,,,,,tissue alpha l fucosidase,,,,
XP_027268236.1,vitamin K-dependent protein S [Cricetulus griseus],True,True,False,True,True,True,5.127305630567796,74694.49340000017,-8.334864590648717,-83.9760118434085,75.64114725275978,-0.0136947153836743,-0.1379779561796136,0.1242832407959393,5.481481481481482,37.0,vitamin k-dependent protein s,True,,,vitamin k dependent protein s,,,,,,vitamin k dependent protein s,,,
XP_027269013.1,stromal cell-derived factor 2-like protein 1 [Cricetulus griseus],True,True,False,True,True,True,7.259550626081916,23523.924699999992,1.49449648628601,-22.990543452053164,24.48503993833917,0.0053047944942398,-0.081606152602686,0.0869109470969259,1.818181818181818,4.0,stromal cell-derived factor 2-like protein 1,True,,,stromal cell derived factor 2 like protein 1,,,,,,stromal cell derived factor 2 like protein 1,,,
XP_027246161.1,cathepsin B [Cricetulus griseus],True,True,False,True,False,True,6.099707830160757,37503.76550000001,-6.033365522304197,-37.99232076389102,31.958955241586825,-0.0156924194141005,-0.0988157322373412,0.0831233128232407,4.71976401179941,16.0,cathepsin b,True,,,cathepsin b,cathepsin b,cathepsin b,,,cathepsin b,cathepsin b,,,cathepsin b
XP_027261047.1,vimentin [Cricetulus griseus],True,True,False,True,True,True,4.53597431334015,53742.13140000012,-17.57082553612538,-84.95658313489923,67.38575759877385,-0.0359552595799922,-0.1738470394213525,0.1378917798413602,0.2145922746781116,1.0,vimentin,True,,,vimentin,vimentin,,vimentin,,,,,,vimentin
XP_027274741.1,transgelin-2 [Cricetulus griseus],True,True,False,True,False,True,9.487010549683776,22455.29349999999,3.086399584046405,-20.992792909488667,24.07919249353507,0.011300209992929,-0.0768607439689596,0.0881609539618887,1.507537688442211,3.0,transgelin-2,True,,,transgelin 2,transgelin 2,,,,,,,,
XP_027280493.1,14-3-3 protein theta [Cricetulus griseus],True,True,False,True,True,True,4.120738416095069,27763.937400000013,-13.905637065069651,-44.98303074392336,31.077393678853703,-0.0441960753559222,-0.1429688842872332,0.0987728089313109,2.0408163265306123,5.0,14-3-3 protein theta,True,,,14 3 3 protein theta,,,,,,14 3 3 protein theta,,,
XP_027243857.1,"malate dehydrogenase, cytoplasmic [Cricetulus griseus]",True,True,False,True,True,True,6.545745518359671,36465.69200000005,-1.1227881858666016,-43.983028058314034,42.86023987244743,-0.0029754663801104,-0.1165580676126911,0.1135826012325806,0.8982035928143712,3.0,"malate dehydrogenase, cytoplasmic",True,,,malate dehydrogenase cytoplasmic,malate dehydrogenase cytoplasmic,,,,,,,,
XP_027280117.1,nucleoside diphosphate kinase B [Cricetulus griseus],True,True,False,True,False,True,8.449171837648407,17339.8933,1.8730157582704496,-20.991869637443365,22.864885395713817,0.00814749314317,-0.0913132274398588,0.0994607205830289,1.3157894736842104,2.0,nucleoside diphosphate kinase b,True,,,nucleoside diphosphate kinase b,nucleoside diphosphate kinase b,,,,,,,,nucleoside diphosphate kinase b
XP_027260936.1,inter-alpha-trypsin inhibitor heavy chain H5 isoform X2 [Cricetulus griseus],True,True,False,True,False,True,9.04657592053136,106537.64240000056,10.08189485269215,-111.9592064297017,122.04110128239384,0.0130733522191074,-0.1451792704856866,0.1582526227047939,0.8403361344537815,8.0,inter-alpha-trypsin inhibitor heavy chain h5 isoform x2,True,,,inter alpha trypsin inhibitor heavy chain h5 isoform x2,inter alpha trypsin inhibitor heavy chain h5 isoform x2,,,,inter alpha trypsin inhibitor heavy chain h5,inter alpha trypsin inhibitor heavy chain h5,,,
XP_027275654.1,cathepsin Z [Cricetulus griseus],True,True,False,True,True,True,8.272813650120062,34027.923899999994,2.91244908686505,-29.000167153112997,31.91261623997805,0.008082546771054,-0.080480448032732,0.088562994803786,3.92156862745098,12.0,cathepsin z,True,,,cathepsin z,cathepsin z,cathepsin z,,,,,,,
XP_027288083.1,metalloproteinase inhibitor 1 [Cricetulus griseus],True,False,False,True,True,True,10.062483151615425,22400.763,7.866357079087223,-12.999042263678415,20.86539934276564,0.0288477515199366,-0.0476704956881085,0.0765182472080451,5.911330049261084,12.0,metalloproteinase inhibitor 1,True,,,metalloproteinase inhibitor 1,metalloproteinase inhibitor 1,,metalloproteinase inhibitor 1,,metalloproteinase inhibitor 1,metalloproteinase inhibitor 1,,,metalloproteinase inhibitor 1
XP_027249198.1,protein S100-A10 [Cricetulus griseus],False,True,False,True,True,True,6.782567656063573,11247.05889999999,-0.3909609478083874,-15.99451932261445,15.603558374806063,-0.0022696257604518,-0.0928521717684269,0.090582546007975,2.061855670103093,2.0,protein s100-a10,True,,,protein s100 a10,,protein s100,,,,protein s100 a10,,,
XP_027264462.1,copper chaperone for superoxide dismutase [Cricetulus griseus],False,True,False,True,False,True,5.10394402135161,29280.58740000002,-7.808245660211712,-35.98328681450116,28.175041154289445,-0.0239522949772689,-0.1103810430074553,0.0864287480301863,3.2846715328467155,9.0,copper chaperone for superoxide dismutase,True,,,copper chaperone for superoxide dismutase,,,,,,copper chaperone for superoxide dismutase,,,
NP_001230979.1,L-lactate dehydrogenase A chain [Cricetulus griseus],False,True,False,True,False,True,7.587378229440726,36518.98080000003,1.3987195355818391,-37.98633016588839,39.38504970147023,0.0037030967697406,-0.1005684506101429,0.1042715473798836,1.5060240963855422,5.0,l-lactate dehydrogenase a chain,True,,,l lactate dehydrogenase a chain,l lactate dehydrogenase a chain,,,,,,,,l lactate dehydrogenase a chain
XP_027279240.1,lysosomal protective protein [Cricetulus griseus],False,True,False,True,False,True,5.773225026146813,56109.9962,-6.56781565101127,-54.00085317027164,47.43303751926037,-0.0130589316148824,-0.1073710783260649,0.0943121467111824,2.028397565922921,10.0,lysosomal protective protein,True,,,lysosomal protective protein,lysosomal protective protein,,lysosomal protective protein,,,,,,
XP_027275692.1,40S ribosomal protein S21 [Cricetulus griseus],False,True,False,True,False,True,9.591011610276874,9143.306699999994,2.083411334300088,-10.99761997351636,13.081031307816447,0.0138852280458315,-0.0732953972072764,0.087180625253108,3.614457831325301,3.0,40s ribosomal protein s21,True,,,40s ribosomal protein s21,,,,,,,,,40s ribosomal protein s21
XP_027274154.1,eukaryotic translation initiation factor 2 subunit 1 [Cricetulus griseus],False,True,False,True,False,True,4.5360250108775,36156.83860000007,-11.372485457900597,-58.97276015239572,47.60027469449511,-0.0303092560067026,-0.1571706107251245,0.1268613547184219,1.5873015873015872,5.0,eukaryotic translation initiation factor 2 subunit 1,True,,,eukaryotic translation initiation factor 2 subunit 1,,,,,,,,,eukaryotic translation initiation factor 2 subunit 1
XP_027262348.1,annexin A1 [Cricetulus griseus],False,True,False,True,False,True,7.053899845066322,38861.05930000003,0.1412540226896846,-53.98051984469141,54.12177386738109,0.0003587880098074,-0.137111587441265,0.1374703754510724,1.4450867052023122,5.0,annexin a1,True,,,annexin a1,,,,,,annexin a1,,,
XP_027259923.1,alpha-N-acetylgalactosaminidase [Cricetulus griseus],False,True,False,True,True,True,8.753927463354794,47222.11150000004,3.3904888718262747,-42.995725698473485,46.38621457029976,0.0075627354367512,-0.0959051365927447,0.1034678720294959,2.1686746987951806,9.0,alpha-n-acetylgalactosaminidase,True,,,alpha n acetylgalactosaminidase,,,,,alpha n acetylgalactosaminidase,,,,
XP_027264418.1,barrier-to-autointegration factor [Cricetulus griseus],False,True,False,True,False,True,5.756151803652843,10058.469899999993,-0.9121770586965712,-15.99220047220938,15.080023413512809,-0.0057047688403736,-0.1000154587018802,0.0943106898615065,4.49438202247191,4.0,barrier-to-autointegration factor,True,,,barrier to autointegration factor,,,,,,barrier to autointegration factor,,,
XP_027264700.1,cathepsin D [Cricetulus griseus],False,True,False,True,False,False,7.048577719975857,44110.390099999975,0.1271119003174469,-37.99556288634139,38.122674786658834,0.0002967147471807,-0.0886922767078163,0.0889889914549971,1.96078431372549,8.0,cathepsin d,True,,,cathepsin d,cathepsin d,cathepsin d,cathepsin d,,cathepsin d,cathepsin d,,,
XP_027270812.1,chondroitin sulfate proteoglycan 4 [Cricetulus griseus],False,True,False,True,False,False,5.337352853939736,252066.2392000002,-60.39161840897032,-252.89089901213077,192.49928060316043,-0.0441042458048686,-0.1846872573659747,0.140583011561106,0.5165733964700818,12.0,chondroitin sulfate proteoglycan 4,True,,,chondroitin sulfate proteoglycan 4,chondroitin sulfate proteoglycan 4,,,,chondroitin sulfate proteoglycan 4,,chondroitin sulfate proteoglycan 4,,
XP_027247933.1,matrix metalloproteinase-19 [Cricetulus griseus],False,True,False,True,False,True,8.248258150078629,58941.25660000008,4.486484932084171,-54.99326553723679,59.47975046932096,0.0086325706101596,-0.1058140738283776,0.1144466444385373,0.7619047619047619,4.0,matrix metalloproteinase-19,True,,,matrix metalloproteinase 19,matrix metalloproteinase 19,matrix metalloproteinase,,,,,,,matrix metalloproteinase 19
XP_027248528.1,"ATP synthase subunit beta, mitochondrial [Cricetulus griseus]",False,False,False,True,False,True,4.725574330234736,56369.88800000014,-13.54132355865968,-64.97456805194597,51.433244493286274,-0.0268416898321994,-0.1287929643713569,0.1019512745391574,0.0,0.0,"atp synthase subunit beta, mitochondrial",True,,,atp synthase subunit beta mitochondrial,,,atp synthase subunit beta mitochondrial,,,,,,
XP_027251265.1,glutathione S-transferase Mu 6 [Cricetulus griseus],False,False,False,True,False,False,6.940850547209635,25559.05310000001,-0.1323091664301833,-31.99586969491444,31.86356052848426,-0.0004443654446461,-0.1074593639082717,0.1070149984636255,1.376146788990826,3.0,glutathione s-transferase mu 6,True,,,glutathione s transferase mu 6,,glutathione s transferase,,,,glutathione s transferase mu 6,,,
XP_027265420.1,cathepsin L1 [Cricetulus griseus],False,False,False,True,False,True,7.307110239803513,37247.795200000015,1.1789520481815077,-35.99155358174156,37.17050562992307,0.0030804153605138,-0.0940402407994166,0.0971206561599305,3.303303303303303,11.0,cathepsin l1,True,,,cathepsin l1,cathepsin l,cathepsin l,,,,cathepsin l1,,,
XP_027242786.1,dihydropteridine reductase [Cricetulus griseus],False,False,False,True,False,False,8.45423679108849,25594.021899999992,1.8742788121628104,-22.98984566287328,24.86412447503609,0.0062891027537851,-0.0771419389309683,0.0834310416847535,1.6597510373443984,4.0,dihydropteridine reductase,True,,,dihydropteridine reductase,,,,,,dihydropteridine reductase,,,
XP_027269854.1,actin-related protein 2/3 complex subunit 3 [Cricetulus griseus],True,True,False,True,True,True,9.437058164570358,20546.440599999987,4.082103900162087,-21.99558675181753,26.077690651979616,0.0158576870453816,-0.0854459219119864,0.101303608957368,2.247191011235955,4.0,actin-related protein 2/3 complex subunit 3,,True,,actin related protein 2/3 complex subunit 3,,,actin,,actin,,,,
XP_027255640.1,F-actin-capping protein subunit beta isoform X16 [Cricetulus griseus],True,True,False,True,True,True,6.384080051141221,33810.923200000005,-1.8654171651609743,-43.98928682034936,42.12386965518838,-0.0051989798648247,-0.1225996097378363,0.1174006298730116,2.3255813953488373,7.0,f-actin-capping protein subunit beta isoform x16,,True,,f actin capping protein subunit beta isoform x16,,,actin,,actin,,,,
XP_027243869.1,actin-related protein 2 [Cricetulus griseus],True,True,False,True,False,True,6.7567708271024935,44760.25870000003,-1.0726986477031846,-53.98164725901847,52.90894861131529,-0.002479683167966,-0.1247856351584646,0.1223059519904986,1.269035532994924,5.0,actin-related protein 2,,True,,actin related protein 2,,,actin,,actin,,,,
XP_027281226.1,"actin, cytoplasmic 2 isoform X2 [Cricetulus griseus]",False,True,True,True,False,True,4.935045891131722,41792.39430000006,-9.811171761972288,-49.98362318120264,40.17245141923035,-0.0237412125734412,-0.1209510802507005,0.0972098676772593,1.6,6.0,"actin, cytoplasmic 2 isoform x2",,True,,actin cytoplasmic 2 isoform x2,,,actin,,actin,,,,
XP_027284895.1,actin-related protein 2/3 complex subunit 4 isoform X5 [Cricetulus griseus],False,True,False,True,False,True,9.25990460044568,19666.796800000004,3.141729708005853,-23.98475968194163,27.126489389947483,0.0125658899290304,-0.095931183821929,0.1084970737509594,1.1904761904761905,2.0,actin-related protein 2/3 complex subunit 4 isoform x5,,True,,actin related protein 2/3 complex subunit 4 isoform x5,,,actin,,actin,,,,
XP_027273578.1,actin-related protein 3 [Cricetulus griseus],False,True,False,True,False,True,5.57863513381694,47356.58760000005,-6.811334450592574,-57.98268797641927,51.171353525826696,-0.0151644079082545,-0.1290897016538327,0.1139252937455782,1.9138755980861244,8.0,actin-related protein 3,,True,,actin related protein 3,,,actin,,actin,,,,
XP_027274198.1,alpha-actinin-1 isoform X6 [Cricetulus griseus],False,True,False,True,False,True,4.802279211781836,105445.20960000064,-31.32053525227762,-149.93525510156212,118.61471984928453,-0.0408938618281307,-0.1957639470686549,0.1548700852405242,1.312910284463895,12.0,alpha-actinin-1 isoform x6,,True,,alpha actinin 1 isoform x6,,,actin,,actin,,,,
XP_027245745.1,F-actin-capping protein subunit alpha-2 isoform X2 [Cricetulus griseus],False,True,False,True,False,True,5.550430111465554,32980.67520000002,-6.073337153049312,-42.98343365726826,36.91009650421894,-0.0172094853231355,-0.1217984037476542,0.1045889184245187,1.048951048951049,3.0,f-actin-capping protein subunit alpha-2 isoform x2,,True,,f actin capping protein subunit alpha 2 isoform x2,,,actin,,actin,,,,
XP_027269422.1,actin-related protein 2/3 complex subunit 1B [Cricetulus griseus],False,True,False,True,False,True,9.806450311668687,40978.26730000008,9.971424945492052,-36.98491056133567,46.95633550682771,0.0244475316420068,-0.0906780902596894,0.1151256219016963,3.763440860215054,14.0,actin-related protein 2/3 complex subunit 1b,,True,,actin related protein 2/3 complex subunit 1b,,,actin,,actin,,,,
XP_027253000.1,actin-related protein 2/3 complex subunit 2 [Cricetulus griseus],False,False,False,True,False,True,7.391911232724443,34346.62310000003,1.7084526727132934,-43.98624884018076,45.69470151289405,0.0047118751645228,-0.1213131137905114,0.1260249889550342,0.6666666666666667,2.0,actin-related protein 2/3 complex subunit 2,,True,,actin related protein 2/3 complex subunit 2,,,actin,,actin,,,,
XP_027262934.1,alpha-centractin isoform X2 [Cricetulus griseus],False,False,False,True,False,False,5.258851982569251,37553.37470000005,-8.548179330869695,-46.98377658548916,38.435597254619466,-0.0222137133707487,-0.1220943204100007,0.099880607039252,1.2048192771084338,4.0,alpha-centractin isoform x2,,True,,alpha centractin isoform x2,,,actin,,actin,,,,
XP_027255007.1,microtubule-actin cross-linking factor 1 isoform X17 [Cricetulus griseus],False,False,False,True,False,False,4.861809417457418,851314.8536000052,-219.85029883076163,-1199.3079861782817,979.4576873475202,-0.0713258746264078,-0.3890906290122936,0.3177647543858858,1.303191489361702,98.0,microtubule-actin cross-linking factor 1 isoform x17,,True,,microtubule actin cross linking factor 1 isoform x17,,,actin,,actin,,,,
XP_027260679.1,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 isoform X2 [Cricetulus griseus],False,False,False,True,False,False,8.909352304170982,122261.2365000007,9.05951792555401,-163.926584230676,172.98610215623003,0.0107174817428183,-0.193926452609497,0.2046439343523154,1.2264150943396228,13.0,swi/snf-related matrix-associated actin-dependent regulator of chromatin subfamily a member 5 isoform x2,,True,,swi/snf related matrix associated actin dependent regulator of chromatin subfamily a member 5 isoform x2,,,actin,,actin,,,,
XP_027248037.1,dynactin subunit 2 isoform X4 [Cricetulus griseus],False,False,False,True,False,False,4.540456612087821,44195.4240000001,-15.06100382724639,-63.96875757003214,48.90775374278575,-0.0351114880252317,-0.1491293868039457,0.1140178987787139,0.5,2.0,dynactin subunit 2 isoform x4,,True,,dynactin subunit 2 isoform x4,,,actin,,actin,,,,
