accn,name,cq_g12,cq_eluate,hq_g12,hq_eluate,xq_g12,xq_eluate,pI_mean,mass_mean,net_charge_mean,net_charge_neg_mean,net_charge_pos_mean,charge_dens_C_m2_mean,charge_dens_neg_C_m2_mean,charge_dens_pos_C_m2_mean,cysteine_cont_percent_mean,cysteine_num_mean,desc_lower,desc_lower_2
XP_027274543.1,bifunctional glutamate/proline--tRNA ligase isoform X2 [Cricetulus griseus],True,True,False,True,True,True,7.298122631319826,169778.9322000001,3.4720220754882067,-212.90566700679494,216.37768908228315,0.003299945738835815,-0.20235388293557421,0.20565382867441004,2.1178027796161483,32.0,bifunctional glutamate/proline--trna ligase isoform x2,bifunctional glutamate/proline  trna ligase isoform x2
XP_027281136.1,fatty acid synthase isoform X2 [Cricetulus griseus],True,True,False,True,True,True,6.384175464842418,271855.51970000047,-23.288098014998578,-263.88976772189363,240.601669706895,-0.016171691069696164,-0.18324999307817466,0.16707830200847845,1.9176987614862164,48.0,fatty acid synthase isoform x2,fatty acid synthase isoform x2
NP_001233662.1,T-complex protein 1 subunit alpha [Cricetulus griseus],True,True,False,True,True,True,5.653642910978689,60337.89620000016,-6.061491564201489,-75.96656557282816,69.90507400862666,-0.011482406444726931,-0.1439050063632519,0.13242259991852495,1.618705035971223,9.0,t-complex protein 1 subunit alpha,t complex protein 1 subunit alpha
NP_001231783.1,glyceraldehyde-3-phosphate dehydrogenase [Cricetulus griseus],True,True,False,True,True,True,9.134350313739569,35747.51060000005,4.130416251623557,-34.992495508761195,39.122911760384746,0.011092007076445067,-0.09397043400966792,0.10506244108611298,1.2012012012012012,4.0,glyceraldehyde-3-phosphate dehydrogenase,glyceraldehyde 3 phosphate dehydrogenase
NP_001233694.1,peroxiredoxin-1 [Cricetulus griseus],True,True,True,True,True,True,9.049789503598163,22262.345599999997,2.6065143814684184,-23.995205179056267,26.601719560524685,0.009598271523177989,-0.08836033907980927,0.09795861060298724,2.512562814070352,5.0,peroxiredoxin-1,peroxiredoxin 1
NP_001233658.1,heat shock cognate 71 kDa protein [Cricetulus griseus],True,True,False,True,True,True,4.7115209221398295,70804.06140000028,-13.58225751602908,-96.96019893399972,83.37794141797065,-0.023126684012715622,-0.16509537386626127,0.14196868985354563,0.6191950464396285,4.0,heat shock cognate 71 kda protein,heat shock cognate 71 kda protein
XP_027282087.1,retinoid-inducible serine carboxypeptidase [Cricetulus griseus],True,True,False,True,True,True,5.060955398717251,51253.204000000034,-8.079751735902756,-50.98805942534033,42.90830768943757,-0.017064655412330192,-0.10768816823548495,0.09062351282315473,1.3186813186813187,6.0,retinoid-inducible serine carboxypeptidase,retinoid inducible serine carboxypeptidase
XP_027248903.1,T-complex protein 1 subunit gamma [Cricetulus griseus],True,True,False,True,True,True,6.6479182237691266,60619.30580000015,-1.7949167823129493,-75.96307662692872,74.16815984461577,-0.0033896162420734557,-0.14345271093889336,0.1400630946968199,1.834862385321101,10.0,t-complex protein 1 subunit gamma,t complex protein 1 subunit gamma
XP_027245386.1,transketolase [Cricetulus griseus],True,True,False,True,True,True,8.268214782845508,67715.8548000003,5.02142366492731,-70.97775018927234,75.99917385419965,0.008808057501191575,-0.12450176417873955,0.1333098216799311,2.086677367576244,13.0,transketolase,transketolase
XP_027281297.1,lysosomal alpha-glucosidase [Cricetulus griseus],True,True,False,True,True,True,5.9064938347912985,105846.24380000072,-14.617844220489635,-92.97947020159553,78.36162598110589,-0.019037644605264165,-0.12109241845679172,0.10205477385152753,1.36986301369863,13.0,lysosomal alpha-glucosidase,lysosomal alpha glucosidase
XP_027248157.1,T-complex protein 1 subunit beta [Cricetulus griseus],True,True,False,True,True,True,6.450603828999277,57489.65380000011,-4.962324370048169,-73.96280309167737,69.00047872162921,-0.009708203542465195,-0.14469951849969612,0.13499131495723093,1.1214953271028036,6.0,t-complex protein 1 subunit beta,t complex protein 1 subunit beta
XP_027269616.1,T-complex protein 1 subunit zeta [Cricetulus griseus],True,True,False,True,True,True,6.949940807744519,57974.49610000006,-0.2753590493645982,-72.96485109244044,72.68949204307583,-0.0005356998829856169,-0.1419501639131842,0.14141446403019856,1.5065913370998116,8.0,t-complex protein 1 subunit zeta,t complex protein 1 subunit zeta
XP_027263554.1,40S ribosomal protein S3 isoform X2 [Cricetulus griseus],True,True,False,True,True,True,10.298632201814437,26673.970999999994,12.613225723706886,-26.98762291724006,39.60084864094694,0.04117319517250428,-0.0880953603743892,0.12926855554689345,1.2345679012345678,3.0,40s ribosomal protein s3 isoform x2,40s ribosomal protein s3 isoform x2
XP_027279242.1,phospholipid transfer protein isoform X2 [Cricetulus griseus],True,False,False,False,False,False,6.155778998853372,49224.70210000004,-2.120469460291437,-43.983929989775696,41.86346052948425,-0.004600695362590105,-0.09543012362207613,0.090829428259486,0.8888888888888888,4.0,phospholipid transfer protein isoform x2,phospholipid transfer protein isoform x2
XP_027248343.1,endoplasmin [Cricetulus griseus],True,True,False,True,True,True,4.206890541875872,92492.67600000053,-53.49204688336743,-171.91153178118046,118.41948489781304,-0.0762192211093426,-0.24495161085618772,0.16873238974684518,0.6234413965087282,5.0,endoplasmin,endoplasmin
XP_027264128.1,elongation factor 1-gamma [Cricetulus griseus],True,True,False,True,True,True,6.832509201485864,50067.09550000013,-0.8034400297206753,-57.972263819888276,57.1688237901676,-0.001723582410818232,-0.12436519284458837,0.12264161043377013,1.3729977116704806,6.0,elongation factor 1-gamma,elongation factor 1 gamma
XP_027254057.1,"6-phosphogluconate dehydrogenase, decarboxylating [Cricetulus griseus]",True,True,True,True,True,True,6.947700190050979,53286.59950000007,-0.2867504357588727,-55.97987010789745,55.69311967213857,-0.0005901180995353931,-0.1152037815492262,0.11461366344969082,1.8633540372670807,9.0,"6-phosphogluconate dehydrogenase, decarboxylating",6 phosphogluconate dehydrogenase decarboxylating
XP_027252956.1,bifunctional purine biosynthesis protein PURH [Cricetulus griseus],True,True,False,True,True,True,7.038576487405794,64650.1807000002,0.23745167552085744,-72.97804506510732,73.21549674062818,0.00042957822836387394,-0.1320259342864651,0.13245551251482898,1.5202702702702704,9.0,bifunctional purine biosynthesis protein purh,bifunctional purine biosynthesis protein purh
XP_027284552.1,T-complex protein 1 subunit eta isoform X2 [Cricetulus griseus],True,True,False,True,True,True,7.654180670403363,59468.24990000011,1.9331607127167079,-67.97141934865813,69.90458006137483,0.0036976406976749797,-0.1300118944115756,0.13370953510925057,1.6574585635359116,9.0,t-complex protein 1 subunit eta isoform x2,t complex protein 1 subunit eta isoform x2
XP_027284484.1,ruvB-like 1 [Cricetulus griseus],True,True,False,True,True,True,6.395388666237686,50213.402,-3.5384742514893395,-65.96716322060925,62.4286889691199,-0.007576171465368635,-0.14124125375023963,0.13366508228487098,1.3157894736842104,6.0,ruvb-like 1,ruvb like 1
XP_027243489.1,filamin-B isoform X3 [Cricetulus griseus],True,True,False,True,True,True,5.339134483801959,275315.4765000004,-52.106990265257444,-317.9046979976823,265.79770773242484,-0.03588027459295569,-0.21890552113029701,0.18302524653734126,1.474010861132661,38.0,filamin-b isoform x3,filamin b isoform x3
XP_027262178.1,lysosomal acid lipase/cholesteryl ester hydrolase [Cricetulus griseus],True,True,False,True,True,True,7.905739320470202,45634.76430000001,4.793257303941871,-35.99713589518065,40.79039319912252,0.010938230083239416,-0.08214559114848997,0.09308382123172938,1.2594458438287155,5.0,lysosomal acid lipase/cholesteryl ester hydrolase,lysosomal acid lipase/cholesteryl ester hydrolase
NP_001230908.1,tubulin alpha-1B chain [Cricetulus griseus],True,True,False,True,True,True,4.434755102615731,50151.06600000007,-20.75872681648932,-64.978712105858,44.219985289368665,-0.04448300529478063,-0.13924015765537856,0.0947571523605979,2.6607538802660753,12.0,tubulin alpha-1b chain,tubulin alpha 1b chain
XP_027269956.1,putative phospholipase B-like 2 [Cricetulus griseus],True,True,True,True,True,True,6.194392494636227,65540.10060000015,-3.3472050183194995,-53.995764503730676,50.64855948541117,-0.006000550536991778,-0.09679846675505181,0.09079791621806003,1.1965811965811968,7.0,putative phospholipase b-like 2,putative phospholipase b like 2
XP_027243827.1,T-complex protein 1 subunit delta [Cricetulus griseus],True,True,False,True,True,True,9.153687202250472,58128.78600000004,4.411643022644235,-63.97039997184097,68.3820429944852,0.008567478980265284,-0.12423150610889933,0.13279898508916463,1.6697588126159555,9.0,t-complex protein 1 subunit delta,t complex protein 1 subunit delta
XP_027247130.1,staphylococcal nuclease domain-containing protein 1 isoform X2 [Cricetulus griseus],True,True,False,True,True,True,8.730040445766068,103435.56570000057,8.097318423200349,-124.94515470204895,133.0424731252493,0.010708816453500403,-0.16524170824563225,0.17595052469913264,1.3029315960912053,12.0,staphylococcal nuclease domain-containing protein 1 isoform x2,staphylococcal nuclease domain containing protein 1 isoform x2
XP_027243868.1,ras-related protein Rab-1A [Cricetulus griseus],True,True,False,True,True,True,5.858562425643052,22677.491399999995,-0.9168332996221957,-25.994780925127724,25.077947625505526,-0.0033348314676837866,-0.09455177234551171,0.09121694087782792,1.951219512195122,4.0,ras-related protein rab-1a,ras related protein rab 1a
XP_027280523.1,peroxidasin homolog isoform X1 [Cricetulus griseus],True,True,False,True,True,True,7.171541278150619,165363.0169,3.431085775171823,-159.94731509838252,163.37840087355434,0.003318838887696132,-0.15471468920199616,0.1580335280896923,3.1186440677966103,46.0,peroxidasin homolog isoform x1,peroxidasin homolog isoform x1
XP_027255877.1,T-complex protein 1 subunit epsilon [Cricetulus griseus],True,True,False,True,True,True,4.9161420544134895,59534.10540000009,-13.267688887626303,-82.95819882490578,69.69050993727947,-0.02535896810510491,-0.15856072115315573,0.13320175304805082,1.478743068391867,8.0,t-complex protein 1 subunit epsilon,t complex protein 1 subunit epsilon
XP_027245995.1,bone morphogenetic protein 1 isoform X4 [Cricetulus griseus],True,True,False,True,True,True,6.65656077725968,93515.6816000006,-4.617844040322909,-113.97150384212557,109.35365980180266,-0.006531753977898088,-0.16120809128403898,0.15467633730614086,4.3478260869565215,36.0,bone morphogenetic protein 1 isoform x4,bone morphogenetic protein 1 isoform x4
XP_027260762.1,tripeptidyl-peptidase 1 isoform X3 [Cricetulus griseus],True,True,False,True,True,True,6.594852412305116,62509.60270000021,-4.193141631058572,-50.986191540666084,46.79304990960751,-0.00775809736171451,-0.09433400368488218,0.08657590632316765,1.5734265734265735,9.0,tripeptidyl-peptidase 1 isoform x3,tripeptidyl peptidase 1 isoform x3
XP_027288075.1,ubiquitin-like modifier-activating enzyme 1 [Cricetulus griseus],True,True,False,True,True,True,5.142723140384453,117696.38720000061,-20.388956207266126,-129.95693310679005,109.56797689952393,-0.024740003570475004,-0.15769002377493807,0.1329500202044631,1.9848771266540641,21.0,ubiquitin-like modifier-activating enzyme 1,ubiquitin like modifier activating enzyme 1
XP_027261821.1,"alanine--tRNA ligase, cytoplasmic [Cricetulus griseus]",True,True,False,True,True,True,5.02811143825487,106855.22940000064,-18.694401493509485,-139.94982987352455,121.25542838001509,-0.024193269570597913,-0.18111539765876047,0.1569221280881626,1.4462809917355373,14.0,"alanine--trna ligase, cytoplasmic",alanine  trna ligase cytoplasmic
NP_001233622.2,protein disulfide-isomerase precursor [Cricetulus griseus],True,True,False,True,True,True,4.211218753120367,57113.857500000086,-31.52755948203114,-97.95373871529196,66.42617923326081,-0.06195022349973161,-0.1924746509321535,0.13052442743242187,1.37524557956778,7.0,protein disulfide-isomerase precursor,protein disulfide isomerase precursor
XP_027250137.1,"ATP-dependent 6-phosphofructokinase, liver type isoform X2 [Cricetulus griseus]",True,True,False,True,True,True,7.92517223111977,85367.99910000044,5.606191736756196,-86.9656597654564,92.57185150221258,0.008426580971092478,-0.13071675178596676,0.1391433327570592,1.7948717948717947,14.0,"atp-dependent 6-phosphofructokinase, liver type isoform x2",atp dependent 6 phosphofructokinase liver type isoform x2
NP_001233654.1,phosphoglycerate kinase 1 [Cricetulus griseus],True,True,False,True,True,True,8.864993695030368,44562.029100000036,3.143021759505154,-50.97628237161685,54.119304131122,0.007287036339826358,-0.11818754387806285,0.1254745802178892,1.6786570743405276,7.0,phosphoglycerate kinase 1,phosphoglycerate kinase 1
XP_027282549.1,pigment epithelium-derived factor isoform X2 [Cricetulus griseus],True,True,False,True,True,True,6.910039678754701,46467.746600000035,-0.33211063419287346,-48.979208277648596,48.647097643455716,-0.0007487932024994367,-0.11043096620871287,0.1096821730062134,0.23923444976076555,1.0,pigment epithelium-derived factor isoform x2,pigment epithelium derived factor isoform x2
NP_001231030.1,tubulin beta-5 chain [Cricetulus griseus],True,True,False,True,True,True,4.239986606774263,49670.27600000016,-22.54171271105331,-62.97704299224687,40.43533028119356,-0.04861489826358784,-0.13582031575215736,0.08720541748856951,1.8018018018018018,8.0,tubulin beta-5 chain,tubulin beta 5 chain
XP_027282527.1,14-3-3 protein epsilon isoform X2 [Cricetulus griseus],True,True,False,True,True,True,4.064849491527881,29173.57520000003,-18.379047864123073,-51.98045045172184,33.60140258759876,-0.05651669517249924,-0.15984306123081826,0.10332636605831898,1.1764705882352942,3.0,14-3-3 protein epsilon isoform x2,14 3 3 protein epsilon isoform x2
XP_027243252.1,platelet-activating factor acetylhydrolase isoform X3 [Cricetulus griseus],True,True,False,True,True,True,9.17212473916527,49254.73140000007,6.962889403277568,-41.99243820924651,48.95532761252408,0.01510095383346721,-0.09107223079747045,0.10617318463093767,1.1363636363636365,5.0,platelet-activating factor acetylhydrolase isoform x3,platelet activating factor acetylhydrolase isoform x3
XP_027283480.1,receptor of activated protein C kinase 1 isoform X2 [Cricetulus griseus],True,True,False,True,True,True,8.415350133878452,35076.323000000055,2.9180172052533635,-30.99309719316922,33.91111439842258,0.007935823388931234,-0.08428865503540293,0.09222447842433416,2.5236593059936907,8.0,receptor of activated protein c kinase 1 isoform x2,receptor of activated protein c kinase 1 isoform x2
XP_027270017.1,60S acidic ribosomal protein P0 isoform X1 [Cricetulus griseus],True,True,False,True,True,True,6.140522550413753,34230.03690000011,-2.1213676473957825,-35.98441422882823,33.86304658143244,-0.005863962926265157,-0.09946944897564418,0.09360548604937902,0.9463722397476341,3.0,60s acidic ribosomal protein p0 isoform x1,60s acidic ribosomal protein p0 isoform x1
XP_027267697.1,out at first protein homolog isoform X2 [Cricetulus griseus],True,True,False,True,True,True,9.065396020801984,31649.093600000015,3.401774252999661,-35.9867330792333,39.388507332232955,0.009907821145568997,-0.10481298535550133,0.11472080650107032,3.9145907473309607,11.0,out at first protein homolog isoform x2,out at first protein homolog isoform x2
XP_027268207.1,heat shock 70 kDa protein 13 isoform X2 [Cricetulus griseus],True,True,False,True,True,True,6.38661964351237,51908.928700000055,-3.551236159854464,-52.98301881118528,49.43178265133082,-0.00743700995933173,-0.11095720499489216,0.10352019503556043,0.21231422505307856,1.0,heat shock 70 kda protein 13 isoform x2,heat shock 70 kda protein 13 isoform x2
XP_027249021.1,glucosylceramidase [Cricetulus griseus],True,True,False,True,True,True,8.950252151215853,57391.91830000012,5.698491419262121,-44.99714798863555,50.695639407897666,0.011161080935819336,-0.08813153756529338,0.0992926185011127,1.3592233009708738,7.0,glucosylceramidase,glucosylceramidase
XP_027272044.1,procollagen C-endopeptidase enhancer 1 [Cricetulus griseus],True,True,True,True,True,True,9.051806194062667,50445.91030000001,3.610932056938596,-44.98859171677879,48.59952377371739,0.007707535390210962,-0.09602816041540402,0.10373569580561495,2.564102564102564,12.0,procollagen c-endopeptidase enhancer 1,procollagen c endopeptidase enhancer 1
XP_027285483.1,glycine--tRNA ligase isoform X2 [Cricetulus griseus],True,True,False,True,True,True,6.6770637914891,82174.27850000028,-2.4842622326253796,-99.95770533872448,97.47344310609911,-0.0038301903415642563,-0.15411297266661875,0.15028278232505451,2.0408163265306123,15.0,glycine--trna ligase isoform x2,glycine  trna ligase isoform x2
XP_027258818.1,prostaglandin reductase 1 isoform X2 [Cricetulus griseus],True,True,False,True,True,True,8.8528802724622,35734.0203,2.6120227881154046,-34.987610984502,37.599633772617395,0.007016209708468576,-0.09398096256376873,0.1009971722722373,1.5197568389057752,5.0,prostaglandin reductase 1 isoform x2,prostaglandin reductase 1 isoform x2
XP_027276433.1,ruvB-like 2 isoform X2 [Cricetulus griseus],True,True,False,True,True,True,5.103831818389265,51111.92700000008,-7.580410425999009,-69.96498315614332,62.3845727301443,-0.01603952132386174,-0.1480401160612217,0.13200059473735992,0.6479481641468683,3.0,ruvb-like 2 isoform x2,ruvb like 2 isoform x2
XP_027242832.1,WD repeat-containing protein 1 isoform X2 [Cricetulus griseus],True,True,False,True,True,True,6.84185286688174,66362.93710000007,-1.8987478503285926,-67.99341641663084,66.09466856630223,-0.0033756992625515094,-0.12088246768324572,0.1175067684206942,1.9801980198019802,12.0,wd repeat-containing protein 1 isoform x2,wd repeat containing protein 1 isoform x2
XP_027281773.1,alpha-L-iduronidase isoform X5 [Cricetulus griseus],True,True,False,True,True,True,6.81900208099951,72357.80360000028,-2.3668026422045383,-59.992011430425485,57.62520878822094,-0.003972086046750653,-0.10068158082557423,0.09670949477882354,1.244167962674961,8.0,alpha-l-iduronidase isoform x5,alpha l iduronidase isoform x5
XP_027244654.1,spliceosome RNA helicase DDX39B isoform X3 [Cricetulus griseus],True,True,False,True,False,False,5.170311959791977,49034.836200000085,-10.277600246202308,-67.97119386579271,57.693593619590395,-0.022356411175089113,-0.14785474446594316,0.12549833329085403,1.8691588785046727,8.0,spliceosome rna helicase ddx39b isoform x3,spliceosome rna helicase ddx39b isoform x3
XP_027268794.1,dnaJ homolog subfamily B member 11 [Cricetulus griseus],True,True,False,True,True,True,6.275479960623175,40460.41890000001,-3.808118747937767,-55.97872135298673,52.17060260504896,-0.009416086051606229,-0.13841492143700979,0.12899883538540355,1.3966480446927374,5.0,dnaj homolog subfamily b member 11,dnaj homolog subfamily b member 11
XP_027288239.1,filamin-A isoform X4 [Cricetulus griseus],True,True,False,True,True,True,5.859847523357166,280461.2945000005,-37.15177534192093,-307.90556380949613,270.75378846757513,-0.025268403418650536,-0.20941884821332774,0.18415044479467718,1.8188707843880259,48.0,filamin-a isoform x4,filamin a isoform x4
XP_027251617.1,alcohol dehydrogenase class-3 [Cricetulus griseus],True,True,False,True,True,True,8.945759167763491,39650.60750000003,3.4038808603671002,-39.979893973373585,43.38377483374068,0.00853076489922688,-0.10019712503864935,0.10872788993787623,3.7433155080213902,14.0,alcohol dehydrogenase class-3,alcohol dehydrogenase class 3
XP_027265239.1,nidogen-1 isoform X3 [Cricetulus griseus],True,True,False,True,True,True,4.61669446695903,136708.0636000004,-45.67595780920416,-146.96477040960008,101.28881260039594,-0.05015779408186531,-0.16138531177134763,0.11122751768948234,3.932584269662921,49.0,nidogen-1 isoform x3,nidogen 1 isoform x3
XP_027244631.1,chloride intracellular channel protein 1 [Cricetulus griseus],True,True,False,True,True,True,4.580441278402805,26952.42800000002,-7.382714818280397,-35.98416740537917,28.601452587098773,-0.023933029853754933,-0.1166522307814201,0.09271920092766517,2.4896265560165975,6.0,chloride intracellular channel protein 1,chloride intracellular channel protein 1
XP_027259957.1,plectin isoform X10 [Cricetulus griseus],True,True,False,False,True,True,5.183645581459779,513767.63420000055,-85.65836054495009,-775.5267242219265,689.8683636769764,-0.03891396194252161,-0.3523160756263117,0.31340211368379,0.7092198581560284,32.0,plectin isoform x10,plectin isoform x10
XP_027247995.1,prolow-density lipoprotein receptor-related protein 1 isoform X1 [Cricetulus griseus],True,True,False,True,True,True,4.684597538396394,504619.1714000021,-143.32020867399302,-627.8298384215443,484.5096297475513,-0.065893886062786,-0.288655369836017,0.222761483773231,7.284330985915492,331.0,prolow-density lipoprotein receptor-related protein 1 isoform x1,prolow density lipoprotein receptor related protein 1 isoform x1
XP_027264402.1,cofilin-1 [Cricetulus griseus],True,True,True,True,True,True,8.963784571187354,18532.3089,2.0864070088909834,-27.989514828107264,30.075921836998248,0.00868212829098784,-0.11647226907529583,0.12515439736628367,2.4096385542168677,4.0,cofilin-1,cofilin 1
NP_001233634.1,trifunctional purine biosynthetic protein adenosine-3 [Cricetulus griseus],True,True,False,True,True,True,6.963383642369407,107445.37960000063,-0.3856227653621128,-110.95087295510103,110.56525018973892,-0.0004972227843696089,-0.1430602830908339,0.1425630603064643,2.178217821782178,22.0,trifunctional purine biosynthetic protein adenosine-3,trifunctional purine biosynthetic protein adenosine 3
XP_027254173.1,cytosolic acyl coenzyme A thioester hydrolase isoform X10 [Cricetulus griseus],True,True,False,True,True,True,8.37507264576172,36710.50280000005,3.712820134822783,-39.98288927237489,43.695709407197675,0.009795438335380456,-0.10548583344088842,0.11528127177626887,1.812688821752266,6.0,cytosolic acyl coenzyme a thioester hydrolase isoform x10,cytosolic acyl coenzyme a thioester hydrolase isoform x10
XP_027287357.1,"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 1 isoform X2 [Cricetulus griseus]",True,True,False,True,True,True,9.971349776033374,38938.30080000004,13.961497732409876,-30.99584566872148,44.957343401131354,0.035415566998496385,-0.07862590891000208,0.11404147590849846,1.7647058823529411,6.0,"cmp-n-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 1 isoform x2",cmp n acetylneuraminate beta galactosamide alpha 23 sialyltransferase 1 isoform x2
NP_001233709.1,peroxiredoxin-2 [Cricetulus griseus],True,True,False,True,True,True,5.0268530043170365,21812.450899999996,-4.866644350471158,-26.993430713544555,22.1267863630734,-0.01816659292518993,-0.1007632019339584,0.08259660900876849,1.5151515151515151,3.0,peroxiredoxin-2,peroxiredoxin 2
XP_027253244.1,26S proteasome non-ATPase regulatory subunit 1 isoform X3 [Cricetulus griseus],True,True,False,True,True,True,4.807540473864242,105854.12140000069,-26.642829790132772,-133.94473717035666,107.3019073802239,-0.03469674134925648,-0.1744351458648434,0.13973840451558692,1.888772298006296,18.0,26s proteasome non-atpase regulatory subunit 1 isoform x3,26s proteasome non atpase regulatory subunit 1 isoform x3
XP_027244494.1,"valine--tRNA ligase isoform X2, partial [Cricetulus griseus]",True,True,False,True,False,True,7.669183576466228,134192.8091000006,5.144428602912474,-142.94546839357508,148.08989699648757,0.005719584769004088,-0.15892702317982924,0.16464660794883335,1.739850869925435,21.0,"valine--trna ligase isoform x2, partial",valine  trna ligase isoform x2 partial
NP_001233670.1,hypoxia up-regulated protein 1 precursor [Cricetulus griseus],True,True,False,True,True,True,4.579732492092657,111269.8142000009,-32.480467742742064,-170.89876474805143,138.41829700530937,-0.04091515672673561,-0.2152786037274516,0.174363447000716,0.40040040040040037,4.0,hypoxia up-regulated protein 1 precursor,hypoxia up regulated protein 1 precursor
XP_027283716.1,vesicle-fusing ATPase isoform X2 [Cricetulus griseus],True,True,False,True,True,True,6.999134199940269,82535.31390000042,-0.005084544120530277,-96.9530168999191,96.94793235579857,-7.816380061152872e-06,-0.14904416407859009,0.14903634769852894,1.2096774193548387,9.0,vesicle-fusing atpase isoform x2,vesicle fusing atpase isoform x2
