accn,name,cq_g12,cq_eluate,hq_g12,hq_eluate,xq_g12,xq_eluate,pI,mass,desc_lower_2
NP_001233622.2,protein disulfide-isomerase precursor [Cricetulus griseus],True,True,False,True,True,True,4.211218753120367,57113.857500000086,protein disulfide isomerase precursor
XP_027250137.1,"ATP-dependent 6-phosphofructokinase, liver type isoform X2 [Cricetulus griseus]",True,True,False,True,True,True,7.92517223111977,85367.99910000044,atp dependent 6 phosphofructokinase liver type isoform x2
NP_001233654.1,phosphoglycerate kinase 1 [Cricetulus griseus],True,True,False,True,True,True,8.864993695030368,44562.029100000036,phosphoglycerate kinase 1
XP_027282549.1,pigment epithelium-derived factor isoform X2 [Cricetulus griseus],True,True,False,True,True,True,6.910039678754701,46467.746600000035,pigment epithelium derived factor isoform x2
NP_001231030.1,tubulin beta-5 chain [Cricetulus griseus],True,True,False,True,True,True,4.239986606774263,49670.27600000016,tubulin beta 5 chain
XP_027282527.1,14-3-3 protein epsilon isoform X2 [Cricetulus griseus],True,True,False,True,True,True,4.064849491527881,29173.57520000003,14 3 3 protein epsilon isoform x2
XP_027243252.1,platelet-activating factor acetylhydrolase isoform X3 [Cricetulus griseus],True,True,False,True,True,True,9.17212473916527,49254.73140000007,platelet activating factor acetylhydrolase isoform x3
XP_027283480.1,receptor of activated protein C kinase 1 isoform X2 [Cricetulus griseus],True,True,False,True,True,True,8.415350133878452,35076.323000000055,receptor of activated protein c kinase 1 isoform x2
XP_027270017.1,60S acidic ribosomal protein P0 isoform X1 [Cricetulus griseus],True,True,False,True,True,True,6.140522550413753,34230.03690000011,60s acidic ribosomal protein p0 isoform x1
XP_027267697.1,out at first protein homolog isoform X2 [Cricetulus griseus],True,True,False,True,True,True,9.065396020801984,31649.093600000015,out at first protein homolog isoform x2
XP_027268207.1,heat shock 70 kDa protein 13 isoform X2 [Cricetulus griseus],True,True,False,True,True,True,6.38661964351237,51908.928700000055,heat shock 70 kda protein 13 isoform x2
XP_027249021.1,glucosylceramidase [Cricetulus griseus],True,True,False,True,True,True,8.950252151215853,57391.91830000012,glucosylceramidase
XP_027272044.1,procollagen C-endopeptidase enhancer 1 [Cricetulus griseus],True,True,True,True,True,True,9.051806194062667,50445.91030000001,procollagen c endopeptidase enhancer 1
XP_027285483.1,glycine--tRNA ligase isoform X2 [Cricetulus griseus],True,True,False,True,True,True,6.6770637914891,82174.27850000028,glycine  trna ligase isoform x2
XP_027258818.1,prostaglandin reductase 1 isoform X2 [Cricetulus griseus],True,True,False,True,True,True,8.8528802724622,35734.0203,prostaglandin reductase 1 isoform x2
XP_027276433.1,ruvB-like 2 isoform X2 [Cricetulus griseus],True,True,False,True,True,True,5.103831818389265,51111.92700000008,ruvb like 2 isoform x2
XP_027242832.1,WD repeat-containing protein 1 isoform X2 [Cricetulus griseus],True,True,False,True,True,True,6.84185286688174,66362.93710000007,wd repeat containing protein 1 isoform x2
XP_027281773.1,alpha-L-iduronidase isoform X5 [Cricetulus griseus],True,True,False,True,True,True,6.81900208099951,72357.80360000028,alpha l iduronidase isoform x5
XP_027244654.1,spliceosome RNA helicase DDX39B isoform X3 [Cricetulus griseus],True,True,False,True,False,False,5.170311959791977,49034.836200000085,spliceosome rna helicase ddx39b isoform x3
XP_027268794.1,dnaJ homolog subfamily B member 11 [Cricetulus griseus],True,True,False,True,True,True,6.275479960623175,40460.41890000001,dnaj homolog subfamily b member 11
XP_027288239.1,filamin-A isoform X4 [Cricetulus griseus],True,True,False,True,True,True,5.859847523357166,280461.2945000005,filamin a isoform x4
XP_027251617.1,alcohol dehydrogenase class-3 [Cricetulus griseus],True,True,False,True,True,True,8.945759167763491,39650.60750000003,alcohol dehydrogenase class 3
XP_027265239.1,nidogen-1 isoform X3 [Cricetulus griseus],True,True,False,True,True,True,4.61669446695903,136708.0636000004,nidogen 1 isoform x3
XP_027244631.1,chloride intracellular channel protein 1 [Cricetulus griseus],True,True,False,True,True,True,4.580441278402805,26952.42800000002,chloride intracellular channel protein 1
XP_027259957.1,plectin isoform X10 [Cricetulus griseus],True,True,False,False,True,True,5.183645581459779,513767.63420000055,plectin isoform x10
XP_027247995.1,prolow-density lipoprotein receptor-related protein 1 isoform X1 [Cricetulus griseus],True,True,False,True,True,True,4.684597538396394,504619.1714000021,prolow density lipoprotein receptor related protein 1 isoform x1
XP_027264402.1,cofilin-1 [Cricetulus griseus],True,True,True,True,True,True,8.963784571187354,18532.3089,cofilin 1
NP_001233634.1,trifunctional purine biosynthetic protein adenosine-3 [Cricetulus griseus],True,True,False,True,True,True,6.963383642369407,107445.37960000063,trifunctional purine biosynthetic protein adenosine 3
XP_027254173.1,cytosolic acyl coenzyme A thioester hydrolase isoform X10 [Cricetulus griseus],True,True,False,True,True,True,8.37507264576172,36710.50280000005,cytosolic acyl coenzyme a thioester hydrolase isoform x10
XP_027287357.1,"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 1 isoform X2 [Cricetulus griseus]",True,True,False,True,True,True,9.971349776033374,38938.30080000004,cmp n acetylneuraminate beta galactosamide alpha 23 sialyltransferase 1 isoform x2
NP_001233709.1,peroxiredoxin-2 [Cricetulus griseus],True,True,False,True,True,True,5.0268530043170365,21812.450899999996,peroxiredoxin 2
XP_027253244.1,26S proteasome non-ATPase regulatory subunit 1 isoform X3 [Cricetulus griseus],True,True,False,True,True,True,4.807540473864242,105854.12140000069,26s proteasome non atpase regulatory subunit 1 isoform x3
XP_027244494.1,"valine--tRNA ligase isoform X2, partial [Cricetulus griseus]",True,True,False,True,False,True,7.669183576466228,134192.8091000006,valine  trna ligase isoform x2 partial
NP_001233670.1,hypoxia up-regulated protein 1 precursor [Cricetulus griseus],True,True,False,True,True,True,4.579732492092657,111269.8142000009,hypoxia up regulated protein 1 precursor
XP_027283716.1,vesicle-fusing ATPase isoform X2 [Cricetulus griseus],True,True,False,True,True,True,6.999134199940269,82535.31390000042,vesicle fusing atpase isoform x2
XP_027247126.1,ADP-ribosylation factor 5 isoform X2 [Cricetulus griseus],True,True,False,True,False,True,6.785228449211855,20529.4165,adp ribosylation factor 5 isoform x2
XP_027242738.1,protocadherin-7 isoform X7 [Cricetulus griseus],True,True,False,True,True,True,4.501656741545129,116358.83390000054,protocadherin 7 isoform x7
XP_027246369.1,proteasome activator complex subunit 2 [Cricetulus griseus],True,True,False,True,True,True,5.2808936223004945,27247.088900000013,proteasome activator complex subunit 2
XP_027247964.1,proliferation-associated protein 2G4 [Cricetulus griseus],True,True,False,True,True,True,6.718924294308037,43714.308900000084,proliferation associated protein 2g4
XP_027265933.1,coatomer subunit beta [Cricetulus griseus],True,True,False,True,True,True,5.801390673835899,107076.93210000075,coatomer subunit beta
XP_027274085.1,"C-1-tetrahydrofolate synthase, cytoplasmic [Cricetulus griseus]",True,True,False,True,True,True,8.622498466780335,101285.85610000067,c 1 tetrahydrofolate synthase cytoplasmic
XP_027284060.1,triosephosphate isomerase isoform X2 [Cricetulus griseus],True,True,False,True,True,True,6.54048265789874,26676.244400000014,triosephosphate isomerase isoform x2
XP_027282708.1,profilin-1 isoform X2 [Cricetulus griseus],True,True,False,True,True,True,9.279332845235851,14957.05959999999,profilin 1 isoform x2
XP_027265955.1,40S ribosomal protein S15a [Cricetulus griseus],True,True,False,True,True,True,10.890425154432453,14839.34229999998,40s ribosomal protein s15a
XP_027251264.1,glutathione S-transferase Mu 3 [Cricetulus griseus],True,True,False,True,True,True,6.788377268204553,26966.974800000018,glutathione s transferase mu 3
NP_001233680.1,aldose reductase-related protein 2 [Cricetulus griseus],True,True,False,True,True,True,6.7157643919229635,36339.37980000005,aldose reductase related protein 2
XP_027255228.1,tubulointerstitial nephritis antigen-like [Cricetulus griseus],True,True,True,True,True,True,7.257214381539067,52519.90600000006,tubulointerstitial nephritis antigen like
NP_001233750.1,heat shock protein HSP 90-alpha [Cricetulus griseus],True,True,False,True,True,True,4.430257882596205,84847.95640000032,heat shock protein hsp 90 alpha
XP_027273039.1,peroxiredoxin-6 isoform X2 [Cricetulus griseus],True,True,False,True,True,True,6.787018748500406,25004.578600000004,peroxiredoxin 6 isoform x2
XP_027287663.1,eukaryotic translation initiation factor 2 subunit 3 [Cricetulus griseus],True,True,False,True,True,True,9.546167482620579,51106.9241,eukaryotic translation initiation factor 2 subunit 3
XP_027287880.1,hypoxanthine-guanine phosphoribosyltransferase isoform X2 [Cricetulus griseus],True,False,False,True,True,False,7.049539320463001,24627.187500000007,hypoxanthine guanine phosphoribosyltransferase isoform x2
XP_027269854.1,actin-related protein 2/3 complex subunit 3 [Cricetulus griseus],True,True,False,True,True,True,9.437058164570358,20546.440599999987,actin related protein 2/3 complex subunit 3
XP_027276515.1,protein arginine N-methyltransferase 1 isoform X2 [Cricetulus griseus],True,True,False,True,True,True,5.058990802080385,40521.99480000005,protein arginine n methyltransferase 1 isoform x2
XP_027246972.1,acid ceramidase isoform X2 [Cricetulus griseus],True,False,False,True,True,False,9.601234685247483,50295.57350000001,acid ceramidase isoform x2
XP_027259718.1,myosin-9 isoform X2 [Cricetulus griseus],True,True,False,True,False,True,5.159480132797132,226673.7769000008,myosin 9 isoform x2
NP_001233673.1,glutathione S-transferase P 1 [Cricetulus griseus],True,True,False,True,True,True,8.285847727883972,23637.941000000003,glutathione s transferase p 1
XP_027279701.1,torsin-1B isoform X2 [Cricetulus griseus],True,True,False,True,True,True,9.593885381297548,37838.35800000005,torsin 1b isoform x2
XP_027259772.1,galectin-1 [Cricetulus griseus],True,False,True,True,True,True,5.4611837658971885,14802.646199999986,galectin 1
XP_027249274.1,semaphorin-3C isoform X2 [Cricetulus griseus],True,True,False,True,True,True,9.813053111129324,86157.06690000044,semaphorin 3c isoform x2
XP_027253859.1,protocadherin gamma-C5 isoform X4 [Cricetulus griseus],True,True,False,True,True,True,4.524371675924721,100929.93350000062,protocadherin gamma c5 isoform x4
XP_027255640.1,F-actin-capping protein subunit beta isoform X16 [Cricetulus griseus],True,True,False,True,True,True,6.384080051141221,33810.923200000005,f actin capping protein subunit beta isoform x16
XP_027259683.1,pyrroline-5-carboxylate reductase 3 isoform X2 [Cricetulus griseus],True,True,False,True,True,True,6.892403421893148,28589.749099999986,pyrroline 5 carboxylate reductase 3 isoform x2
XP_027258371.1,alcohol dehydrogenase [NADP(+)] isoform X3 [Cricetulus griseus],True,False,False,True,True,True,7.1839337416818605,36509.48580000003,alcohol dehydrogenase [nadp(+)] isoform x3
XP_027284026.1,complement C1s subcomponent [Cricetulus griseus],True,True,False,True,True,True,4.176968857039549,77411.20060000033,complement c1s subcomponent
XP_027252741.1,basic leucine zipper and W2 domain-containing protein 1 isoform X1 [Cricetulus griseus],True,True,False,True,False,True,6.199932287802165,47993.60330000003,basic leucine zipper and w2 domain containing protein 1 isoform x1
NP_001230962.1,40S ribosomal protein SA [Cricetulus griseus],True,True,False,True,True,True,4.325849782220339,32880.705800000054,40s ribosomal protein sa
XP_027282556.1,replication protein A 70 kDa DNA-binding subunit isoform X3 [Cricetulus griseus],True,True,False,True,True,True,8.873398412842537,68580.02770000017,replication protein a 70 kda dna binding subunit isoform x3
XP_027282311.1,26S proteasome non-ATPase regulatory subunit 11 isoform X2 [Cricetulus griseus],True,True,False,True,True,True,6.442363314059126,47490.22740000003,26s proteasome non atpase regulatory subunit 11 isoform x2
NP_001233697.1,proliferating cell nuclear antigen [Cricetulus griseus],True,True,False,True,True,True,4.000581897048473,28794.514800000023,proliferating cell nuclear antigen
XP_027279173.1,exportin-2 [Cricetulus griseus],True,True,False,True,True,True,5.425251094007343,110374.21120000079,exportin 2
XP_027249724.1,dnaJ homolog subfamily C member 3 isoform X2 [Cricetulus griseus],True,True,False,True,True,True,5.462856600784695,57569.46580000007,dnaj homolog subfamily c member 3 isoform x2
XP_027271994.1,heat shock protein beta-1 isoform X2 [Cricetulus griseus],True,True,False,True,True,True,6.702001644020172,23418.99699999999,heat shock protein beta 1 isoform x2
XP_027288992.1,renin receptor isoform X6 [Cricetulus griseus],True,True,False,True,False,True,5.7924437133125455,38067.03200000006,renin receptor isoform x6
XP_027281651.1,26S proteasome non-ATPase regulatory subunit 12 [Cricetulus griseus],True,True,False,True,True,True,7.5648845063109995,52943.77170000007,26s proteasome non atpase regulatory subunit 12
XP_027253977.1,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 isoform X3 [Cricetulus griseus]",True,True,False,True,True,True,6.618921242228364,83787.40980000034,procollagen lysine2 oxoglutarate 5 dioxygenase 1 isoform x3
XP_027269644.1,GTP-binding nuclear protein Ran isoform X2 [Cricetulus griseus],True,True,False,True,True,True,7.589010734891813,24422.80320000001,gtp binding nuclear protein ran isoform x2
XP_027282819.1,eukaryotic initiation factor 4A-I [Cricetulus griseus],True,True,False,True,True,True,4.848931128284892,46153.419900000066,eukaryotic initiation factor 4a i
XP_027267778.1,coatomer subunit delta [Cricetulus griseus],True,True,False,True,False,True,6.1013061550265535,57228.76030000002,coatomer subunit delta
XP_027248125.1,cullin-associated NEDD8-dissociated protein 1 isoform X2 [Cricetulus griseus],True,True,False,True,True,True,5.277813293985911,136373.123400001,cullin associated nedd8 dissociated protein 1 isoform x2
XP_027259523.1,cytosolic non-specific dipeptidase [Cricetulus griseus],True,True,False,True,True,True,5.727177920552977,52841.82940000003,cytosolic non specific dipeptidase
XP_027243823.1,exportin-1 [Cricetulus griseus],True,True,False,True,False,True,5.996433370707526,122958.08320000047,exportin 1
XP_027249566.1,D-3-phosphoglycerate dehydrogenase [Cricetulus griseus],True,True,False,True,True,True,6.984124258151673,56582.85220000009,d 3 phosphoglycerate dehydrogenase
XP_027268506.1,follistatin-related protein 1 [Cricetulus griseus],True,True,False,True,True,True,5.30686470315532,34635.701300000044,follistatin related protein 1
XP_027284492.1,ras-related protein Rab-7a [Cricetulus griseus],True,False,False,True,True,True,6.424261392511525,23517.528000000013,ras related protein rab 7a
XP_027287028.1,NEDD8-conjugating enzyme Ubc12 isoform X2 [Cricetulus griseus],True,True,False,True,False,True,8.302252082205626,20899.726300000002,nedd8 conjugating enzyme ubc12 isoform x2
XP_027244085.1,inorganic pyrophosphatase [Cricetulus griseus],True,True,False,True,True,True,4.814856627570648,32658.669900000044,inorganic pyrophosphatase
XP_027255508.1,tissue alpha-L-fucosidase [Cricetulus griseus],True,True,False,True,True,True,6.485147522645714,53364.785300000025,tissue alpha l fucosidase
XP_027284500.1,coatomer subunit gamma-1 [Cricetulus griseus],True,True,False,True,True,True,4.840977652680498,97562.73090000048,coatomer subunit gamma 1
XP_027254694.1,ras-related protein Rab-2A isoform X2 [Cricetulus griseus],True,True,False,True,False,True,6.542217749268872,23545.276499999996,ras related protein rab 2a isoform x2
XP_027277166.1,eukaryotic translation initiation factor 6 isoform X2 [Cricetulus griseus],True,True,False,True,True,True,4.255943644012726,24671.748400000008,eukaryotic translation initiation factor 6 isoform x2
XP_027256200.1,S-methyl-5'-thioadenosine phosphorylase [Cricetulus griseus],True,True,False,True,True,True,7.264910009104204,31061.588600000046,s methyl 5' thioadenosine phosphorylase
XP_027242767.1,pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 isoform X3 [Cricetulus griseus],True,True,False,True,True,True,7.686129087687383,90961.82960000038,pre mrna splicing factor atp dependent rna helicase dhx15 isoform x3
XP_027245162.1,26S proteasome non-ATPase regulatory subunit 6 [Cricetulus griseus],True,True,False,True,False,True,5.076618918385926,45565.97830000005,26s proteasome non atpase regulatory subunit 6
XP_027284048.1,ubiquitin carboxyl-terminal hydrolase 5 isoform X2 [Cricetulus griseus],True,True,False,True,True,True,4.407353544912662,93373.69670000055,ubiquitin carboxyl terminal hydrolase 5 isoform x2
XP_027268236.1,vitamin K-dependent protein S [Cricetulus griseus],True,True,False,True,True,True,5.127305630567796,74694.49340000017,vitamin k dependent protein s
XP_027279575.1,60S ribosomal protein L12 isoform X2 [Cricetulus griseus],True,True,False,True,True,True,10.308466986350139,17789.380599999986,60s ribosomal protein l12 isoform x2
XP_027273538.1,"aspartate--tRNA ligase, cytoplasmic [Cricetulus griseus]",True,True,False,True,True,True,6.673292586662737,57094.55210000008,aspartate  trna ligase cytoplasmic
XP_027277438.1,destrin [Cricetulus griseus],True,False,False,True,True,True,8.326232174785705,18566.33789999999,destrin
XP_027273833.1,ras-related protein Rab-11B [Cricetulus griseus],True,True,False,False,True,False,5.601435889169981,24488.195100000015,ras related protein rab 11b
XP_027260743.1,sphingomyelin phosphodiesterase [Cricetulus griseus],True,True,False,True,True,True,7.318089010089213,69921.29740000021,sphingomyelin phosphodiesterase
XP_027263987.1,lactadherin isoform X7 [Cricetulus griseus],True,False,False,True,True,True,9.189719376004623,47085.96740000001,lactadherin isoform x7
XP_027271112.1,glycerol-3-phosphate dehydrogenase 1-like protein [Cricetulus griseus],True,True,True,True,True,True,6.820363584322037,38256.2041,glycerol 3 phosphate dehydrogenase 1 like protein
XP_027246555.1,UDP-glucose 6-dehydrogenase isoform X3 [Cricetulus griseus],True,True,False,True,True,True,8.218464021425241,54902.43560000005,udp glucose 6 dehydrogenase isoform x3
XP_027269310.1,eukaryotic translation initiation factor 3 subunit B isoform X2 [Cricetulus griseus],True,True,False,True,True,True,4.42201132586628,91376.22560000041,eukaryotic translation initiation factor 3 subunit b isoform x2
XP_027247220.1,aldose reductase [Cricetulus griseus],True,True,False,True,True,True,7.620886452371347,35790.93830000004,aldose reductase
NP_001233729.1,sialidase-1 precursor [Cricetulus griseus],True,True,False,True,True,True,5.506696889948766,44666.786100000034,sialidase 1 precursor
XP_027252962.1,fibronectin isoform X6 [Cricetulus griseus],True,True,False,True,True,True,5.702082308216362,260370.5820999991,fibronectin isoform x6
XP_027243958.1,peptidyl-prolyl cis-trans isomerase A isoform X2 [Cricetulus griseus],True,True,False,True,True,True,9.332498553477484,17899.075799999988,peptidyl prolyl cis trans isomerase a isoform x2
XP_027248999.1,farnesyl pyrophosphate synthase isoform X4 [Cricetulus griseus],True,True,False,True,True,True,4.897956011155703,40494.880100000024,farnesyl pyrophosphate synthase isoform x4
XP_027281357.1,septin-9 isoform X4 [Cricetulus griseus],True,True,False,True,True,True,7.720149899113923,66438.05760000013,septin 9 isoform x4
XP_027274096.1,heat shock-related 70 kDa protein 2 [Cricetulus griseus],True,True,False,True,True,True,5.076283729096568,69667.84170000022,heat shock related 70 kda protein 2
XP_027280333.1,ras-related protein Rab-10 [Cricetulus griseus],True,True,False,True,True,True,9.393487065956101,22570.69940000001,ras related protein rab 10
XP_027262114.1,vacuolar protein sorting-associated protein 35 isoform X2 [Cricetulus griseus],True,True,False,True,True,True,4.887162115559467,91677.82290000064,vacuolar protein sorting associated protein 35 isoform x2
XP_027248724.1,platelet-derived growth factor C [Cricetulus griseus],True,True,False,True,True,True,6.829778787739011,38708.96709999999,platelet derived growth factor c
NP_001233656.1,glucose-6-phosphate 1-dehydrogenase [Cricetulus griseus],True,True,False,True,False,True,6.418073401197375,59324.91930000007,glucose 6 phosphate 1 dehydrogenase
XP_027277715.1,biliverdin reductase A [Cricetulus griseus],True,True,False,True,True,True,5.918553009753348,33248.959600000024,biliverdin reductase a
NP_001233703.1,protein disulfide-isomerase A3 precursor [Cricetulus griseus],True,True,False,True,True,True,6.288335865063492,56795.732700000015,protein disulfide isomerase a3 precursor
XP_027256217.1,phospholipase A-2-activating protein [Cricetulus griseus],True,True,False,True,True,True,6.088309318824821,87182.15590000064,phospholipase a 2 activating protein
XP_027251978.1,ataxin-10 isoform X6 [Cricetulus griseus],True,True,False,True,False,True,4.631950304949654,53789.33320000006,ataxin 10 isoform x6
XP_027277936.1,EH domain-containing protein 4 isoform X2 [Cricetulus griseus],True,True,False,True,True,True,6.75967996449857,61431.809000000125,eh domain containing protein 4 isoform x2
XP_027267351.1,dynamin-2 isoform X19 [Cricetulus griseus],True,True,False,True,True,True,8.244236826517398,96717.53210000043,dynamin 2 isoform x19
XP_027289255.1,"apoptosis-inducing factor 1, mitochondrial [Cricetulus griseus]",True,True,False,True,True,True,9.664717553655057,66779.61950000018,apoptosis inducing factor 1 mitochondrial
XP_027254080.1,calsyntenin-1 isoform X5 [Cricetulus griseus],True,True,False,True,True,True,4.342654095624874,105974.29150000053,calsyntenin 1 isoform x5
